language,region,quoteType,typeDisp,quoteSourceName,triggerable,customPriceAlertConfidence,currency,exchange,fiftyTwoWeekHigh,fiftyTwoWeekLow,shortName,regularMarketChange,regularMarketTime,regularMarketPrice,regularMarketDayHigh,regularMarketDayRange,regularMarketDayLow,regularMarketVolume,regularMarketPreviousClose,bid,ask,bidSize,askSize,market,messageBoardId,fullExchangeName,longName,financialCurrency,regularMarketOpen,corporateActions,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,trailingAnnualDividendRate,trailingAnnualDividendYield,marketState,bookValue,priceToBook,sourceInterval,exchangeDataDelayedBy,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,ipoExpectedDate,esgPopulated,tradeable,cryptoTradeable,hasPrePostMarketData,priceHint,regularMarketChangePercent,displayName,symbol,epsTrailingTwelveMonths,prevName,nameChangeDate,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekChangePercent,sharesOutstanding,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,firstTradeDateMilliseconds,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,isEarningsDateEstimate,epsForward,epsCurrentYear,priceEpsCurrentYear,forwardPE,averageAnalystRating,earningsCallTimestampStart,earningsCallTimestampEnd,trailingPE,dividendDate,dividendRate,dividendYield,netExpenseRatio
en-US,US,EQUITY,Equity,Delayed Quote,False,LOW,USD,NGM,0.0424,0.0424,Iron Horse Acquisitions Corp. W,0.007199999,1738357200,0.0424,0.0424,0.0424 - 0.0424,0.0424,1860,0.0352,0.0,0.0,0.0,0.0,us_market,finmb_1813470789,NasdaqGM,Iron Horse Acquisitions Corp.,USD,0.05,[],0.0,0.0,0.0424 - 0.0424,0.0,0.0,0.0,0.0,REGULAR,-0.303,-0.13993399,15,0,America/New_York,EST,-18000000,2024-02-16,False,False,False,True,4,20.454542,Iron Horse Acquisitions,IROHW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en-US,US,EQUITY,Equity,Delayed Quote,False,LOW,USD,NCM,0.01,0.01,,0.0016999999,1738616400,0.01,0.01,0.01 - 0.01,0.01,37167,0.0083,0.0,0.0,0.0,0.0,us_market,finmb_270653313,NasdaqCM,Prenetics Global Limited,USD,0.0099,[],0.0,0.0,0.01 - 0.01,0.0,0.0,0.0,0.0,REGULAR,16.907,0.000591471,15,0,America/New_York,EST,-18000000,,False,False,False,True,4,20.481926,Prenetics Global,PRENW,-11.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en-US,US,EQUITY,Equity,Delayed Quote,False,LOW,USD,NGM,0.0288,0.0288,Above Food Ingredients Inc. War,0.004899999,1738616400,0.0288,0.0288,0.0288 - 0.0288,0.0288,403,0.0239,,0.03,,7.0,us_market,finmb_692806164,NasdaqGM,Above Food Ingredients Inc.,CAD,0.0289,[],0.0,0.0,0.0288 - 0.0288,0.0,0.0,0.0,0.0,REGULAR,-0.593,-0.04856661,15,0,America/New_York,EST,-18000000,2024-07-01,False,False,False,True,4,20.502089,Above Food Ingredients,ABVEW,,Above Food and Ingredients Inc.,2025-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,USD,NGM,0.17,0.1539,Vine Hill Capital Investment Co,0.030000001,1738683005,0.17,0.17,0.1539 - 0.17,0.1539,15172,0.14,0.05,0.1,1.0,1.0,us_market,finmb_1887357499,NasdaqGM,Vine Hill Capital Investment Corp.,,0.154,[],0.016100004,0.104613416,0.1539 - 0.17,0.0,0.0,0.0,0.0,REGULAR,-0.002,-85.0,15,0,America/New_York,EST,-18000000,2024-10-28,False,False,False,True,4,21.428572,Vine Hill Capital Inv,VCICW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,USD,NCM,0.185,0.1611,Rail Vision Ltd. Warrant,0.032700002,1738681057,0.185,0.185,0.1611 - 0.185,0.1611,12784,0.1523,0.0,0.0,0.0,0.0,us_market,finmb_543866941,NasdaqCM,Rail Vision Ltd.,USD,0.1611,[],0.023900002,0.14835507,0.1611 - 0.185,0.0,0.0,0.0,0.0,REGULAR,0.526,0.351711,15,0,America/New_York,EST,-18000000,2022-03-31,False,False,False,True,4,21.470783,Rail Vision,RVSNW,-1.179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en-US,US,EQUITY,Equity,Delayed Quote,False,LOW,USD,ASE,0.0304,0.0304,,0.0054,1738679400,0.0304,0.0304,0.0304 - 0.0304,0.0304,330,0.025,0.02,0.0,13.0,14.0,us_market,finmb_207433977,NYSE American,"Splash Beverage Group, Inc.",USD,0.0304,[],0.0,0.0,0.0304 - 0.0304,0.0,0.0,0.0,0.0,REGULAR,-0.126,-0.24126984,15,0,America/New_York,EST,-18000000,,False,False,False,True,4,21.6,Splash Beverage,SBEV-WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,USD,NGM,2.17,0.37,Hub Cyber Security Ltd.,0.20989996,1738684073,1.1499,1.25,1.0101 - 1.25,1.0101,6294109,0.94,1.1,1.27,3.0,2.0,us_market,finmb_667033420,NasdaqGM,HUB Cyber Security Ltd.,USD,1.0101,[],0.77989995,2.1078377,0.37 - 2.17,-1.0201001,-0.4700922,0.0,0.0,REGULAR,-4.547,-0.25289202,15,0,America/New_York,EST,-18000000,2023-03-01,False,False,False,True,4,22.329782,HUB Cyber Security,HUBC,-2.81,HUB Security,2025-02-03,1976530.0,2604560.0,-41.250004,71196800.0,0.60224,0.54765993,0.90937155,0.674355,0.475545,0.705185,81869200.0,1641220200000.0,,,,,,,,,,,,,,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,USD,NCM,1.76,0.63,Achilles Therapeutics plc,0.27499998,1738684076,1.385,1.39,1.355 - 1.39,1.355,5256729,1.11,1.34,1.43,1.0,1.0,us_market,finmb_408338329,NasdaqCM,Achilles Therapeutics plc,USD,1.37,[],0.755,1.1984127,0.63 - 1.76,-0.375,-0.21306819,0.0,0.0,REGULAR,3.465,0.3997114,15,0,America/New_York,EST,-18000000,2021-03-31,False,False,False,True,4,24.774773,Achilles Therapeutics,ACHL,-1.66,,,177620.0,102740.0,22.004354,41100000.0,1.09402,0.29097998,0.26597318,0.927775,0.45722497,0.4928188,59162212.0,1617197400000.0,1731585601.0,1743597000.0,1744029000.0,True,-1.87,-0.18,-7.694444,-0.7406417,,,,,,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,USD,NGM,6.22,1.3,Exagen Inc.,0.91989994,1738684068,4.7999,4.85,4.3291 - 4.85,4.3291,302664,3.88,4.58,4.99,1.0,1.0,us_market,finmb_8444750,NasdaqGM,Exagen Inc.,USD,4.35,[],3.4999,2.692231,1.3 - 6.22,-1.4200997,-0.22831187,0.0,0.0,REGULAR,1.331,3.606236,15,0,America/New_York,EST,-18000000,,False,False,False,True,4,23.70876,Exagen,XGN,-0.94,,,153516.0,101240.0,93.03483,17637300.0,4.2144,0.58550024,0.1389285,2.806915,1.992985,0.71002686,84657280.0,1568899800000.0,1731416400.0,1742214600.0,1742560200.0,True,-0.83,-0.86667,-5.538325,-5.7830124,1.3 - Strong Buy,1731418200.0,1731418200.0,,,,,
en-US,US,EQUITY,Equity,Delayed Quote,False,LOW,USD,NCM,0.0311,0.0311,Pasithea Therapeutics Corp. Warrant,0.005999999,1738616400,0.0311,0.0311,0.0311 - 0.0311,0.0311,1700,0.0251,0.0,0.0,0.0,0.0,us_market,finmb_702706441,NasdaqCM,Pasithea Therapeutics Corp.,USD,0.0251,[],0.0,0.0,0.0311 - 0.0311,0.0,0.0,0.0,0.0,REGULAR,22.464,0.0013844372,15,0,America/New_York,EST,-18000000,2021-09-15,False,False,False,True,4,23.904379,Pasithea Therapeutics,KTTAW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en-US,US,EQUITY,Equity,Delayed Quote,False,LOW,USD,NCM,45.0,0.417,Hyzon Motors Inc.,0.1279,1738270800,0.6399,0.777,0.5466 - 0.777,0.5466,7341127,0.512,0.0,0.0,0.0,0.0,us_market,finmb_691308963,NasdaqCM,Hyzon Motors Inc.,USD,0.578,[],0.22290003,0.5345325,0.417 - 45.0,-44.3601,-0.98578,0.0,0.0,REGULAR,26.662,0.024000451,15,0,America/New_York,EST,-18000000,,False,False,False,True,4,24.9805,Hyzon Motors,HYZN,-34.43,HYZON Motors Inc,2025-02-03,423823.0,1215580.0,-98.20979,7764690.0,1.28538,-0.64548,-0.50217056,9.25032,-8.61042,-0.930824,4968625.0,1607956200000.0,1731501004.0,1742473800.0,1742819400.0,True,-25.5,,,-0.025094118,,1731504600.0,1731504600.0,,,,,
en-US,US,EQUITY,Equity,Delayed Quote,False,LOW,USD,NCM,0.1,0.07,Western Acquisition Ventures Co,0.02,1738355540,0.1,0.1,0.07 - 0.1,0.07,19788,0.08,0.042,0.08,0.0,0.0,us_market,finmb_1673572759,NasdaqCM,Western Acquisition Ventures Corp.,USD,0.07,[],0.030000001,0.42857143,0.07 - 0.1,0.0,0.0,0.0,0.0,REGULAR,-0.9,-0.11111112,15,0,America/New_York,EST,-18000000,2022-04-11,False,False,False,True,4,25.0,Western Acquisition Ventures,WAVSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en-US,US,EQUITY,Equity,Delayed Quote,False,LOW,USD,NCM,0.95,0.95,enGene Holdings Inc. Warrants,0.1925,1738357200,0.95,0.95,0.95 - 0.95,0.95,1311,0.7575,0.0,0.0,0.0,0.0,us_market,finmb_9516520,NasdaqCM,enGene Holdings Inc.,USD,0.95,[],0.0,0.0,0.95 - 0.95,0.0,0.0,0.0,0.0,REGULAR,5.209,0.18237665,15,0,America/New_York,EST,-18000000,2023-11-01,False,False,False,True,4,25.412542,enGene,ENGNW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,USD,NMS,106.91,19.76,Palantir Technologies Inc.,21.890205,1738684089,105.6302,106.91,100.51 - 106.91,100.51,110406831,83.74,103.5,107.0,1.0,2.0,us_market,finmb_43580005,NasdaqGS,Palantir Technologies Inc.,USD,102.67,[],85.8702,4.345658,19.76 - 106.91,-1.2798004,-0.01197082,0.0,0.0,REGULAR,1.982,53.294754,15,0,America/New_York,EST,-18000000,2024-11-26,False,False,False,True,2,26.14068,Palantir,PLTR,0.2,,,84672696.0,69381910.0,282.89896,2180649984.0,73.1136,32.5166,0.4447408,42.0334,63.5968,1.5130063,240627728384.0,1601472600000.0,1738616400.0,1738616400.0,1738616400.0,False,0.47,0.55238,191.22742,224.74512,3.3 - Hold,1738620000.0,1738620000.0,528.151,,,,
en-US,US,EQUITY,Equity,Delayed Quote,False,LOW,USD,NCM,0.0628,0.0628,Global Blockchain Acquisition C,0.012799997,1738616400,0.0628,0.0628,0.0628 - 0.0628,0.0628,1000,0.05,0.0,0.0,0.0,0.0,us_market,finmb_1772853511,NasdaqCM,Global Blockchain Acquisition Corp.,USD,0.0628,[],0.0,0.0,0.0628 - 0.0628,0.0,0.0,0.0,0.0,REGULAR,-0.218,-0.2880734,15,0,America/New_York,EST,-18000000,2022-06-16,False,False,False,True,4,25.599995,Global Blockchain,GBBKW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,USD,NGM,0.055,0.055,Denali Capital Acquisition Corp,0.011,1738683786,0.055,0.055,0.055 - 0.055,0.055,5000,0.044,0.0,0.0,0.0,0.0,us_market,finmb_1772987855,NasdaqGM,Denali Capital Acquisition Corp.,USD,0.055,[],0.0,0.0,0.055 - 0.055,0.0,0.0,0.0,0.0,REGULAR,-1.165,-0.047210302,15,0,America/New_York,EST,-18000000,2022-05-31,False,False,False,True,4,26.378897,Denali Capital,DECAW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,USD,NCM,0.0444,0.0444,EDIBLE GARDEN AG INC C/WTS (TO ,0.009399999,1738682962,0.0444,0.0444,0.0444 - 0.0444,0.0444,3824,0.035,0.0,0.0,0.0,0.0,us_market,finmb_403117116,NasdaqCM,Edible Garden AG Incorporated,USD,0.0444,[],0.0,0.0,0.0444 - 0.0444,0.0,0.0,0.0,0.0,REGULAR,-1.01,-0.043960396,15,0,America/New_York,EST,-18000000,,False,False,False,True,4,26.85714,,EDBLW,-1.309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,USD,ASE,4.24,0.87,CleanCore Solutions Inc.,0.2299,1738684050,1.25,1.47,1.17 - 1.47,1.17,2869973,1.0201,1.3,1.32,12.0,10.0,us_market,finmb_1818623954,NYSE American,"CleanCore Solutions, Inc.",USD,1.36,[],0.38,0.43678162,0.87 - 4.24,-2.9899998,-0.7051887,0.0,0.0,REGULAR,0.454,2.753304,15,0,America/New_York,EST,-18000000,,False,False,False,True,4,22.534796,CleanCore,ZONE,-0.07,,,421421.0,228260.0,-70.85715,6805940.0,1.31128,-0.061280012,-0.046732973,1.9077927,-0.6577927,-0.34479254,10642812.0,1714138200000.0,,,,,,,,,,,,,,,,
