symbol,shortName,regularMarketPrice,regularMarketChangePercent,marketCap,regularMarketVolume,fiftyTwoWeekHigh,fiftyTwoWeekLow,regularMarketDayHigh,regularMarketDayLow,regularMarketPreviousClose,averageDailyVolume3Month
ELWS,"Earlyworks Co., Ltd.",3.705,20.4878,11171983.0,24603,13.0,1.04,3.795,3.03,3.075,336936.0
KDLYW,"Kindly MD, Inc. Warrants",0.29,20.833332,,373,0.29,0.2777,0.29,0.2777,0.24,
RFAC,RF Acquisition Corp.,6.96,21.04348,32359616.0,28668,12.9,5.0,7.04,5.38,5.75,8431.0
PTIXW,"Protagenic Therapeutics, Inc. Warrant",0.004,21.212128,,46719,0.0078,0.004,0.0078,0.004,0.0033,
DISTR,Distoken Acquisition Corporatio,0.1699,21.357143,,1000,0.1699,0.128,0.1699,0.128,0.14,
VSTEW,Vast Renewables Limited Warrant,0.0608,21.35729,,162043,0.0625,0.055,0.0625,0.055,0.0501,
XOSWW,,0.01,21.951216,,1995,0.01,0.0082,0.01,0.0082,0.0082,
HUBCW,Hub Cyber Security Ltd. Warrant,0.03,21.951221,,1300,0.03,0.03,0.03,0.03,0.0246,
RVMDW,"Revolution Medicines, Inc. Warr",0.1373,22.044447,,1258,0.1399,0.1315,0.1399,0.1315,0.1125,
HOVRW,,0.055,22.222216,,181266,0.068,0.04,0.068,0.04,0.045,
PBM,Psyence Biomedical Ltd.,1.64,22.388056,6407693.0,561111,323.25,1.21,1.85,1.42,1.34,2627880.0
EMCGW,Embrace Change Acquisition Corp Warrants,0.0258,22.85715,,300,0.0259,0.0258,0.0259,0.0258,0.021,
CCIRW,Cohen Circle Acquisition Corp. ,0.8,23.07693,,107696,0.8,0.64,0.8,0.64,0.65,
DATSW,"DatChat, Inc. Series A Warrant",0.3698,23.266663,,495,0.9,0.026,0.37,0.3698,0.3,9855.0
ECXWW,ECARX Holdings Inc. Warrants,0.0494,23.500008,,9000,0.0495,0.04,0.0495,0.04,0.04,
ISRLW,Israel Acquisitions Corp Warran,0.1299,23.714283,,625027,0.13,0.091,0.13,0.091,0.105,
