symbol,roc,rsi,adx,SMA_Short,SMA_Long,MACD,MACD_Signal,MACD_Hist,%K,%D,buy_level,sell_level,fibonacci_levels,Close,Volume,Upper Band,Lower Band,buy_signal,sell_signal
HUBC,-2.9620240430561884,47.00903058259438,26.720380129700803,1.1460299730300902,1.1812120032310487,-0.007526888696614664,-0.008212558206199436,0.0006856695095847718,48.426086781448994,38.60165335017043,0.3700000047683716,1.25,"{'0%': Ticker
HUBC    1.25
dtype: float64, '23.6%': Ticker
HUBC    1.04232
dtype: float64, '38.2%': Ticker
HUBC    0.91384
dtype: float64, '50%': Ticker
HUBC    0.81
dtype: float64, '61.8%': Ticker
HUBC    0.70616
dtype: float64, '100%': Ticker
HUBC    0.37
dtype: float64}","Ticker
HUBC    1.1499
Name: 2025-02-04 15:47:00+00:00, dtype: float64","Ticker
HUBC    0
Name: 2025-02-04 15:47:00+00:00, dtype: int64",1.2079560390374704,1.1152339347937064,True,False
ACHL,0.4423771934283671,60.24770195929735,14.810860048869058,1.3737900018692017,1.3758880043029784,0.0005337064232970867,-0.00040716653686885757,0.0009408729601659443,74.87435078744166,66.49913438325552,0.921999990940094,1.3899999856948853,"{'0%': Ticker
ACHL    1.39
dtype: float64, '23.6%': Ticker
ACHL    1.279552
dtype: float64, '38.2%': Ticker
ACHL    1.211224
dtype: float64, '50%': Ticker
ACHL    1.156
dtype: float64, '61.8%': Ticker
ACHL    1.100776
dtype: float64, '100%': Ticker
ACHL    0.922
dtype: float64}","Ticker
ACHL    1.385
Name: 2025-02-04 15:47:00+00:00, dtype: float64","Ticker
ACHL    0
Name: 2025-02-04 15:47:00+00:00, dtype: int64",1.3805212111846108,1.3650288014038903,True,False
XGN,0.626835935528014,54.40141293458731,12.964752813460025,4.733010005950928,4.721587934494019,0.009249774009505884,0.01131522691088713,-0.0020654529013812463,46.15643337627017,44.69045886507075,2.759999990463257,6.21999979019165,"{'0%': Ticker
XGN    6.22
dtype: float64, '23.6%': Ticker
XGN    5.40344
dtype: float64, '38.2%': Ticker
XGN    4.89828
dtype: float64, '50%': Ticker
XGN    4.49
dtype: float64, '61.8%': Ticker
XGN    4.08172
dtype: float64, '100%': Ticker
XGN    2.76
dtype: float64}","Ticker
XGN    4.7999
Name: 2025-02-04 15:47:00+00:00, dtype: float64","Ticker
XGN    0
Name: 2025-02-04 15:47:00+00:00, dtype: int64",4.857442753997208,4.654187161240219,False,True
PLTR,2.0814233151511763,63.07589259577446,14.639195838274219,105.12023086547852,105.16095611572266,0.14431791546995498,-0.015061218303182057,0.15937913377313703,95.8886042338605,93.02132229685755,63.400001525878906,106.91000366210938,"{'0%': Ticker
PLTR    106.910004
dtype: float64, '23.6%': Ticker
PLTR    96.641643
dtype: float64, '38.2%': Ticker
PLTR    90.289183
dtype: float64, '50%': Ticker
PLTR    85.155003
dtype: float64, '61.8%': Ticker
PLTR    80.020822
dtype: float64, '100%': Ticker
PLTR    63.400002
dtype: float64}","Ticker
PLTR    105.684998
Name: 2025-02-04 15:48:00+00:00, dtype: float64","Ticker
PLTR    0
Name: 2025-02-04 15:48:00+00:00, dtype: int64",105.8705200660887,103.32410044782732,True,False
ZONE,-6.106864671788603,40.18618801206779,42.44181384048487,1.2399999976158143,1.3319799947738646,-0.025590554819213684,-0.027003114504003913,0.0014125596847902287,54.77214418409232,57.27016119354624,0.8700000047683716,2.0299999713897705,"{'0%': Ticker
ZONE    2.03
dtype: float64, '23.6%': Ticker
ZONE    1.75624
dtype: float64, '38.2%': Ticker
ZONE    1.58688
dtype: float64, '50%': Ticker
ZONE    1.45
dtype: float64, '61.8%': Ticker
ZONE    1.31312
dtype: float64, '100%': Ticker
ZONE    0.87
dtype: float64}","Ticker
ZONE    1.23
Name: 2025-02-04 15:48:00+00:00, dtype: float64","Ticker
ZONE    0
Name: 2025-02-04 15:48:00+00:00, dtype: int64",1.34613753884059,1.1917024579741375,True,False
GCTK,-15.548386839658335,25.532399098248064,36.62097304707123,1.5231600165367127,1.7815260076522828,-0.1010659093100168,-0.08202390510030119,-0.019042004209715607,2.771423731692307,4.658451869666495,1.0240000486373901,7.800000190734863,"{'0%': Ticker
GCTK    7.8
dtype: float64, '23.6%': Ticker
GCTK    6.200864
dtype: float64, '38.2%': Ticker
GCTK    5.211568
dtype: float64, '50%': Ticker
GCTK    4.412
dtype: float64, '61.8%': Ticker
GCTK    3.612432
dtype: float64, '100%': Ticker
GCTK    1.024
dtype: float64}","Ticker
GCTK    1.4399
Name: 2025-02-04 15:48:00+00:00, dtype: float64","Ticker
GCTK    0
Name: 2025-02-04 15:48:00+00:00, dtype: int64",1.9283801496347497,1.3452998816648414,True,True
BBAI-WT,4.352935927549506,59.63554648953896,26.579184352507024,1.373259997367859,1.3781353783607484,0.0028874928957747237,0.0010782046943698259,0.0018092882014048978,83.78547449590505,74.85153527618965,1.176200032234192,1.4500000476837158,"{'0%': Ticker
BBAI-WT    1.45
dtype: float64, '23.6%': Ticker
BBAI-WT    1.385383
dtype: float64, '38.2%': Ticker
BBAI-WT    1.345408
dtype: float64, '50%': Ticker
BBAI-WT    1.3131
dtype: float64, '61.8%': Ticker
BBAI-WT    1.280792
dtype: float64, '100%': Ticker
BBAI-WT    1.1762
dtype: float64}","Ticker
BBAI-WT    1.4192
Name: 2025-02-04 15:47:00+00:00, dtype: float64","Ticker
BBAI-WT    0
Name: 2025-02-04 15:47:00+00:00, dtype: int64",1.433757231231947,1.3320327663457203,True,False
EVAX,-8.910858080440843,28.261213842650935,21.438264481230476,3.4162000179290772,3.5185619974136353,-0.06320716990420028,-0.033358250137384485,-0.029848919766815793,5.445585783626271,6.785787731005429,2.2200000286102295,9.800000190734863,"{'0%': Ticker
EVAX    9.8
dtype: float64, '23.6%': Ticker
EVAX    8.01112
dtype: float64, '38.2%': Ticker
EVAX    6.90444
dtype: float64, '50%': Ticker
EVAX    6.01
dtype: float64, '61.8%': Ticker
EVAX    5.11556
dtype: float64, '100%': Ticker
EVAX    2.22
dtype: float64}","Ticker
EVAX    3.2701
Name: 2025-02-04 15:48:00+00:00, dtype: float64","Ticker
EVAX    0
Name: 2025-02-04 15:48:00+00:00, dtype: int64",3.7183656809043617,3.2624743106651577,True,True
QNRX,10.470783160849173,56.24867892318601,42.42310910428778,0.41771999895572665,0.37042799949645994,0.015569292571268711,0.016472374154071146,-0.0009030815828024348,58.47273247498717,64.36744264339356,0.2809999883174896,0.8700000047683716,"{'0%': Ticker
QNRX    0.87
dtype: float64, '23.6%': Ticker
QNRX    0.730996
dtype: float64, '38.2%': Ticker
QNRX    0.645002
dtype: float64, '50%': Ticker
QNRX    0.5755
dtype: float64, '61.8%': Ticker
QNRX    0.505998
dtype: float64, '100%': Ticker
QNRX    0.281
dtype: float64}","Ticker
QNRX    0.4083
Name: 2025-02-04 15:48:00+00:00, dtype: float64","Ticker
QNRX    0
Name: 2025-02-04 15:48:00+00:00, dtype: int64",0.4535813819941288,0.34052861515915334,False,True
AZTR,-3.7426905884616612,39.39289466730744,12.685422820150052,0.423800003528595,0.42546687960624696,-0.0033629696263566267,-0.002125148690210226,-0.0012378209361464006,25.94995394719068,35.62878216646232,0.2329999953508377,0.6499999761581421,"{'0%': Ticker
AZTR    0.65
dtype: float64, '23.6%': Ticker
AZTR    0.551588
dtype: float64, '38.2%': Ticker
AZTR    0.490706
dtype: float64, '50%': Ticker
AZTR    0.4415
dtype: float64, '61.8%': Ticker
AZTR    0.392294
dtype: float64, '100%': Ticker
AZTR    0.233
dtype: float64}","Ticker
AZTR    0.4115
Name: 2025-02-04 15:48:00+00:00, dtype: float64","Ticker
AZTR    0
Name: 2025-02-04 15:48:00+00:00, dtype: int64",0.4373323756202073,0.4106176239506393,False,True
